country_code,country,rel_prem_deaths_1990,rel_prem_deaths_2015,rel_prem_deaths_2019,abs_prem_deaths_2019
ESP,Spain,352.437,205.207,189.99,81463
LKA,Sri Lanka,172.151,300.444,340.711,36736
SDN,Sudan,197.738,335.521,388.11,62920
SUR,Suriname,333.758,493.995,448.491,1391
SWE,Sweden,314.519,70.996,64.641,10711
CHE,Switzerland,534.559,197.046,160.047,16386
SYR,Syrian Arab Republic,528.071,557.749,595.102,59486
TJK,Tajikistan,363.783,527.143,510.444,22164
TZA,Tanzania,86.519,115.339,107.54,28664
THA,Thailand,260.6,395.964,462.915,168690
TLS,Timor-Leste,75.193,150.793,162.516,759
TGO,Togo,147.056,201.304,200.129,7097
TON,Tonga,99.918,187.416,195.169,110
TTO,Trinidad and Tobago,518.754,576.295,638.644,5055
TUN,Tunisia,394.781,612.591,627.556,39342
TUR,Türkiye,523.652,543.182,499.227,241798
TKM,Turkmenistan,637.822,640.315,602.374,21375
TUV,Tuvalu,123.767,165.591,179.742,12
UGA,Uganda,66.525,124.074,103.672,19868
UKR,Ukraine,1078.55,1125.826,975.989,395925
ARE,United Arab Emirates,319.646,259.004,333.016,10709
GBR,United Kingdom,722.556,218.808,214.122,176749
USA,United States,377.84,155.408,145.26,514082
VIR,United States Virgin Islands,162.969,268.059,299.087,152
URY,Uruguay,285.525,221.763,211.845,5550
UZB,Uzbekistan,497.885,839.486,811.529,141550
VUT,Vanuatu,90.487,164.126,181.466,214
VEN,Venezuela,246.381,338.346,430.519,55493
VNM,Viet Nam,146.051,370.51,388.53,167530
YEM,Yemen,182.909,367.859,386.895,42843
ZMB,Zambia,130.722,164.872,164.885,12682
ZWE,Zimbabwe,121.565,201.596,177.914,14881
